seed,provisioning_delay_epochs,horizon_epochs,miss_to_action_cost_ratio,policy,test_epochs,severe_event_prevalence,training_severe_p95_threshold_ms,missed_event_fraction,event_coverage_fraction,action_rate,normalized_cost,threshold
20260727,3,4,50,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,4.06,
20260727,3,4,50,snapshot_tuned,50,0.08,46.00000000000003,0.06,0.25,0.3,3.3,0.13425071052444856
20260727,3,4,50,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.16,3.16,0.10850673917022802
20260727,3,4,50,delay_aware_hybrid,50,0.08,46.00000000000003,0.04,0.5,0.68,2.68,0.08106483610645916
20260727,3,4,100,no_action,50,0.08,46.00000000000003,0.08,0.0,0.0,8.0,
20260727,3,4,100,always_on,50,0.08,46.00000000000003,0.0,1.0,1.0,1.0,
20260727,3,4,100,reactive,50,0.08,46.00000000000003,0.08,0.0,0.06,8.06,
20260727,3,4,100,snapshot_tuned,50,0.08,46.00000000000003,0.06,0.25,0.3,6.3,0.13425071052444856
20260727,3,4,100,satcap_tuned,50,0.08,46.00000000000003,0.06,0.25,0.16,6.16,0.10850673917022802
20260727,3,4,100,delay_aware_hybrid,50,0.08,46.00000000000003,0.04,0.5,0.68,4.68,0.08106483610645916
20260728,0,1,1,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.04,
20260728,0,1,1,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,0,1,1,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.08,
20260728,0,1,1,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.04,1.0
20260728,0,1,1,satcap_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.04,1.0
20260728,0,1,1,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.08,0.12,1.0
20260728,0,1,2,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.08,
20260728,0,1,2,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,0,1,2,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.12,
20260728,0,1,2,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.08,1.0
20260728,0,1,2,satcap_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.08,1.0
20260728,0,1,2,delay_aware_hybrid,50,0.04,41.21500000000003,0.04,0.0,0.08,0.16,1.0
20260728,0,1,5,no_action,50,0.04,41.21500000000003,0.04,0.0,0.0,0.2,
20260728,0,1,5,always_on,50,0.04,41.21500000000003,0.0,1.0,1.0,1.0,
20260728,0,1,5,reactive,50,0.04,41.21500000000003,0.04,0.0,0.04,0.24000000000000002,
20260728,0,1,5,snapshot_tuned,50,0.04,41.21500000000003,0.04,0.0,0.0,0.2,1.0
